planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Bukit Batok,Bukit Batok West,education,30,4.533,0,3,4,2,4,0,5,0,0,0,1,0,"We like that the school is incredibly spacious and filled with natural light, which gives off a really positive vibe. The teachers are patient and always willing to take extra time... || My firstborn son (now 9) attended My world and it was a huge difference from the previous preschool. They have good emphasis on values and morales. The principle Ms Ria (who used t... || M.Y World @ West Qarry. My kid Elijah currently at K2 Caring class. We have been sending Elijah to M.Y world since he was infant until now. The teachers and staff has always been v...",-3,2,4,5,0,1
Bukit Batok,Bukit Batok West,transport,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bukit Batok,Bukit Batok West,food,15,4.533,1,0,3,3,2,0,0,0,2,0,0,2,"My wife and I were here today (1 March 2026) for an early lunch. It was our first time visiting this quite recently opened food court in West Mall. We were very impressed with its ... || A new foodcourt at Westmall. It's under the flagship of Kopitiam. It was spacious, more stalls & fully renovated with modern vibe. The stalls were offering varieties from mala (som... || Lots of food varieties to choose from. Beautifully decorated, spacious and clean ambiance. Good place to chill in between shopping.",1,0,2,0,2,-2
Bukit Batok,Bukit Batok West,shopping,5,1.0,0,0,0,0,1,0,0,0,0,0,0,0,"Staff is extremely rude.. Accidentally spilled the soup in the microwave and when i was about to clean it myself, he took the towel and wipe it aggressively (trying to show us that... || 8:45pm 4th October 2025. Wang wang jelly drink promotion 3 for $3 expired but promotional tag still displayed. Staff refuse to process a refund. Very disappointed || The orange juice was expired and make my mother had diarrhea is not good they have to check properly",0,0,1,0,0,0
Bukit Batok,Bukit Batok West,recreation,5,5.0,0,0,3,1,0,1,0,0,1,0,0,0,"This gym is so amazing you’ll never want to leave! This time we review Snap Fitness West Mall, which used to be a cinema that’s now revamped into a fitness sanctuary for all the We... || The gym is huge and spacious with plenty of equipment, including for hyrox. Even during peak hours, it doesn't feel too packed. The staff are also friendly and approachable, making... || A big space with loads of machines and equipment, though some users here have a bad habit of not replacing weights where they them took from and this makes the space really messy. ...",0,2,-1,0,1,0
Bukit Batok,Bukit Batok West,nature,15,4.6,6,0,0,0,1,0,1,0,5,0,0,0,"​The park's main activities are conveniently clustered around McDonald's, which serves as a great central spot for dining, socializing, and recreation. Aside from active play, it i... || West Coast Park is a long but relatively quiet park that stretches along Singapore’s western coastline. It’s a wonderful place for a relaxed outdoor day, especially for families wi... || I do like to come to this nature park by the sea - to take in the salty air and the cool sea breeze, both of which relaxes and then invigorates me. I like to hear the waves crashin...",6,0,1,1,5,0
Bukit Batok,Gombak,education,27,5.0,0,0,0,0,0,0,1,0,1,0,2,0,"Thanks for being the best teachers and staff at Newlife Gombak branch ever. We are so grateful to have Teacher Huang and Teacher Arni as our child's teachers. Your kindness, patien... || We are incredibly grateful to Teacher Jasmine for her dedication and exceptional teaching throughout our daughter's preschool journey. As she reaches the end of K2, we can see how ... || We appreciate the excellent and considerate ways in which teachers Ismawati and Wang RuiQi interact with the children. We are so grateful to you for instilling in kids a sense of r...",0,0,0,1,1,2
Bukit Batok,Gombak,transport,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Nice,0,0,0,0,0,0
Bukit Batok,Gombak,food,15,4.133,0,0,0,4,0,0,0,0,3,0,5,1,"G Sabtu 24/1/2026 try menu ni… mandy lamb, chicken grill, aglio oglio prawns and kunafa cheese…semua sedap… this place will be my favorite family place || Cozy setting. Affordable meals. Ample free parking. People are nice || Love the band! Nice music, great musician. Relax layback ambience suitable for weekend outings. Kids friendly, sufficient parking. Muslim food vendors. Price is affordable, food is...",0,-4,0,0,3,4
Bukit Batok,Gombak,shopping,5,1.0,0,0,0,1,0,0,0,0,0,0,1,0,Bought a bottle of fuzetea at Bukit Gombak 7-11 at around 8.47pm. Thought it was $1.20 which they posted the price at the freezer. End up paying $3.20. Request the cashier lady (In... || yet again not removing price signs that dont belong to the items. 7/11 is supposed to be a convenience store where we grab and go. if i have to always check the price whether it ma... || Buying beer over $28 didn't get me a free gift. And they told me the promotion hadn't even started yet? It clearly started on 30/12/2025. Don't the employees know?,0,-1,0,0,0,1
