timestamp,api_type,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-16T13:12:57.715259,text_search,Clementi,Clementi North,nature,park,"park in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:58.512220,text_search,Clementi,Clementi North,nature,nature reserve,"nature reserve in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:59.441777,text_search,Clementi,Clementi North,nature,garden,"garden in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:13:00.275372,text_search,Clementi,Clementi North,nature,beach,"beach in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:13:00.992729,text_search,Clementi,Clementi North,nature,waterfront,"waterfront in Clementi North, Clementi, Singapore",OK,,6,
2026-07-16T13:13:01.687119,text_search,Clementi,Clementi North,nature,park connector,"park connector in Clementi North, Clementi, Singapore",OK,,8,
2026-07-16T13:13:02.523535,text_search,Clementi,Clementi West,education,kindergarten,"kindergarten in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:03.242701,text_search,Clementi,Clementi West,education,childcare centre,"childcare centre in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:03.998136,text_search,Clementi,Clementi West,education,primary school,"primary school in Clementi West, Clementi, Singapore",OK,,12,
2026-07-16T13:13:04.964464,text_search,Clementi,Clementi West,education,secondary school,"secondary school in Clementi West, Clementi, Singapore",OK,,15,
2026-07-16T13:13:05.808817,text_search,Clementi,Clementi West,education,junior college,"junior college in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:06.515610,text_search,Clementi,Clementi West,education,polytechnic,"polytechnic in Clementi West, Clementi, Singapore",OK,,16,
2026-07-16T13:13:07.797797,text_search,Clementi,Clementi West,education,university,"university in Clementi West, Clementi, Singapore",OK,,7,
2026-07-16T13:13:08.837219,text_search,Clementi,Clementi West,education,tuition centre,"tuition centre in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:09.348906,text_search,Clementi,Clementi West,education,library,"library in Clementi West, Clementi, Singapore",OK,,2,
2026-07-16T13:13:10.085102,text_search,Clementi,Clementi West,transport,MRT station,"MRT station in Clementi West, Clementi, Singapore",OK,,6,
2026-07-16T13:13:11.076079,text_search,Clementi,Clementi West,transport,bus stop,"bus stop in Clementi West, Clementi, Singapore",OK,,20,
2026-07-16T13:13:12.072706,text_search,Clementi,Clementi West,transport,bus interchange,"bus interchange in Clementi West, Clementi, Singapore",OK,,8,
2026-07-16T13:13:13.312776,text_search,Clementi,Clementi West,transport,LRT station,"LRT station in Clementi West, Clementi, Singapore",OK,,5,
