planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Ang Mo Kio,Kebun Bahru,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Ang Mo Kio,Kebun Bahru,shopping,10,4.4,0,0,1,1,2,0,0,1,5,0,1,0,"A nice and modern mall conveniently located at the Jurong East transportation hub, with sheltered walkways linking it to two other popular malls in the area. The mall is spacious, ... || Mall is around 10 years old located in Jurong east central and beside the MRT station. Good shopper traffic, more home goods, Fnb and lifestyle/services shops such as Nittori, Drea... || Great place for casual shopping. Good spread of food. Easy connection to the jurong east train station.",0,0,2,-1,5,1
Ang Mo Kio,Kebun Bahru,recreation,10,4.3,0,0,1,0,4,0,0,1,3,0,0,0,"Was here for an Edusave award ceremony at the MPH, which is clean and has aircon. The open air area is also sheltered and has a huge fan so it's not hot. There are also counters to... || First time booking a pickleball court for play on Tuesday (20 Jan, 8-9am) and when we arrived at the CC, the only hall that we saw was dark and empty. As the counter was not open, ... || The volunteer staff there were very polite and provided clear, correct guidance. I’m very grateful for their service—it solved my problem and helped me save a considerable amount o...",0,1,4,-1,3,0
Ang Mo Kio,Kebun Bahru,nature,10,5.0,7,0,1,1,0,0,0,0,0,0,1,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",7,0,0,0,0,1
Ang Mo Kio,Sembawang Hills,education,10,4.8,5,0,1,0,2,0,0,0,2,0,0,0,"Both my children were taught by teacher En Tong, and they really enjoyed her lessons and showed clear improvement during the time with her. While my younger child did not do as wel... || Before joining learning point, one of my initial struggles was answering comprehension questions accurately. Learning Point provides great tips and compre techniques which has help... || My child has been with Teacher En Tong for the past year for P3 Math and we really appreciate her dedication in teaching, putting in extra time and effort to make sure the weaker s...",5,1,2,0,2,0
Ang Mo Kio,Sembawang Hills,transport,10,3.0,0,0,0,3,2,0,0,0,3,0,0,0,"Bus interchange with bus services Express to Upper East Coast Shenton Way Tampines Clementi Toa Payoh Marine Parade Woodlands Sengkang and Punggol. covered pathway to Ang Mo Kio MR... || Bus 73 almost always never on time. Yesterday, I waited 30 minutes for a bus that was supposed to only be 9 minutes. Currently, I am in line and I checked the bus app: arriving bec... || Bus interchange at the first floor of Integrated shopping mall walking distance to Ang Mo Kio MRT with plenty of dinning shopping banking supermarkets library cinemas entertainment...",0,-3,2,0,3,0
Ang Mo Kio,Sembawang Hills,food,5,4.0,0,0,0,1,4,0,0,0,1,0,1,1,"A great place to makan after hikes at nearby reservoirs. Used to be a very popular hawker centre but for some reason, some stalls have closed down and are still vacant. That said, ... || This hawker is along Upper Thomson Road even though is called Sembawang Hill Hawker Centre. The front car park is always full with very limited slots. The next is beside Esso Stati... || Delicious yet affordable Char Siew and Roasted Pork Rice ($5) or Wanton mee ($6) . Char Siew slightly saltier (3.5/5), Roasted Pork was crispy and thick cut (4/5), wanton mee was s...",0,-1,4,0,1,0
Ang Mo Kio,Sembawang Hills,shopping,10,4.2,0,0,0,3,3,0,0,1,7,0,0,0,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-3,3,-1,7,0
Ang Mo Kio,Sembawang Hills,recreation,10,4.2,1,1,1,0,4,0,0,0,3,0,0,0,"My elderly sister (75yo) stays at block 417. She just gotton her new mobile phone. She is not a tech person, should say sometimes quite fearful (as nowadays too many scam cases via... || Thank you to the Yoga teacher who welcomed me into her practice group and graciously accepted me at my age to train alongside with everyone. She is a humble and warm-hearted teache... || Spacious indoor hall. Ample outdoor car parking nearby. There are plenty of F&B options nearby at pocket-friendly prices.",0,1,4,0,3,0
Ang Mo Kio,Sembawang Hills,nature,10,4.5,8,0,1,2,1,0,0,0,0,0,0,0,"The park itself is fine if you don't intend to go onto the other side of the waterway because the number of bridges linking the two sides are few and far apart. I am not sure why i... || Great place for a family walk. Quite a lot of wildlife and nature you can spot here if you look closely. || Nature's serenity and wonder, 😜 if you don't mind just a quiet morning walk or family walk ☺️🍀😎💕👍🏽🌈",8,-1,1,0,0,0
