planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Yishun,Northland,food,10,4.4,0,0,0,3,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-3,3,0,0,0
Yishun,Northland,shopping,10,4.6,0,0,0,4,3,0,0,1,4,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-4,3,-1,4,0
Yishun,Northland,recreation,10,4.4,0,0,0,2,0,0,1,0,4,1,1,0,"Did not personally visit the gym but wanted to give my sincerest thanks to their wonderful staff Adelin and Fariz (apologies if I misspelled your names), who helped my father durin... || Big field with alot of activities that I can do there, the gym is usually packed and it is right beside a swimming pool so I can cool off after a gym session. However, the distance... || Nov 2021 update: just renovated. Feel much larger than before. Only 1 toilet inside the gym, and 2 changing room though. Looks more modern.",0,-2,0,1,3,1
Yishun,Northland,nature,10,4.9,16,1,1,2,3,0,0,0,0,0,0,0,"Lower Seletar Reservoir Park is such a peaceful and scenic spot in Singapore! 🌅 The waterfront views are beautiful, especially during sunrise and sunset, and the park is very well ... || 10/10, would absolutely paddle back for this again. 🌅🚣‍♂️ The sunrise kayak + breakfast tour was such a peaceful, feel-good start to the day. Ali and Shiva were fantastic, friendly... || The park is beautifully maintained, with a delightful variety of flowers that add color and charm to every corner. Each pathway feels inviting, filled with vibrant blooms and natur...",15,-1,3,0,0,0
Yishun,Springleaf,education,10,4.7,1,2,1,1,3,0,1,0,0,0,0,0,"Yishun library is located at the 4th level of Yishun Northpoint City (North wing). A modern designed and cosy place, but is smaller size as compared to the other libraries being si... || Been coming here a lot. Love the place and the small reading nooks. It can get crowded with a lot of students but plenty of spaces you can find. I live that their collection of fic... || Yishun Library moved over to Northpoint lv 4 since ages ago from the Blk 290 near where POSB Yishun North branch is located. Been here multiple times, it’s clean and very cosy to b...",-1,0,3,1,0,0
Yishun,Springleaf,transport,10,3.9,0,1,1,0,2,0,0,0,5,0,0,0,"Most dysfunctional MRT station. The manager in charge of the station is extremely rude and enjoys locking up commuters’ bicycles parked for 48 hours with his personal bike lock. Th... || Nearby HK or is Zhi chat restaurant (Wang Jiao) serve really nice wohei fried rice. Is super near to mrt. Served for private residents. Saw a famous prata shop too n recommended by... || Spring Leaf MRT station is clean, modern, and well-maintained, providing a convenient connection for residents in the northern part of Singapore. The station is spacious with clear...",-1,1,2,0,5,0
Yishun,Springleaf,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Yishun,Springleaf,shopping,10,4.8,0,0,0,4,1,0,0,0,3,0,1,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-4,1,0,3,1
Yishun,Springleaf,recreation,10,4.7,0,0,0,1,0,0,0,0,8,0,1,0,"Where I used to hang out a lot when I was younger. Besides their water cooler much further away from the basketball court now, the basketball court was less accessible due to the m... || Standard cc, nowadays converted into vaccination centre. The design is very nice. Indoor area but the walls are actually just a lot of small pillars so does not feel v stuffy. Ther... || Convenient fast foods near the neighborhood. Newly open 4Fingers @CC. However the seat is limited. Some area has been converted to vaccination center and the rapid test kit center ...",0,-1,0,0,8,1
Yishun,Springleaf,nature,10,5.0,6,0,0,1,1,0,0,0,3,0,0,0,"Serene park with a PCN connecting to Lower Seletar Reservior Park. Good place for bird watching as I could hear them singing. Spotted a monitor lizard swimming leisurely in the can... || Beautiful park, greenery and animals. Nature at its finest. Also nearby the restaurant 'Three'. Home to various pond ecosystem creatures such as Monkeys, otters, dragonflies, terra... || Good trail along the river but do note there is not much shade. Be prepared to be exposed to the sun. Also be on the look out for the monitor lizards taking a lazy swim in the midd...",6,-1,1,0,3,0
